date,dem_pres,total_senate,dem_senate,rep_senate,total_house,dem_house,rep_house,gdp_r,gdp_n,cpi,fed_sur,fed_rec,fed_out,def_pct_gdp,cpi_inflation,gdp_r_growth,gdp_n_growth,fed_sur_pct_gdp
1930-01-01,0,96,39,56,435,163,267,966.7,92.2,17.1,738.0,4058.0,3320.0,1.2,0.0,-0.08508423244368712,-0.11854684512428293,8.004338394793926
1931-01-01,0,96,39,56,435,163,267,904.8,77.4,15.9,-462.0,3116.0,3577.0,1.4,-0.07017543859649134,-0.06403227474914663,-0.16052060737527107,-5.9689922480620154
1932-01-01,0,96,47,48,435,217,217,788.2,59.5,14.3,-2735.0,1924.0,4659.0,1.7,-0.10062893081761004,-0.12886825817860292,-0.23126614987080107,-45.96638655462185
1933-01-01,1,96,47,48,435,217,217,778.3,57.2,12.9,-2602.0,1997.0,4598.0,1.7,-0.09790209790209792,-0.01256026389241316,-0.03865546218487392,-45.48951048951049
1934-01-01,1,96,59,36,435,313,117,862.2,66.8,13.2,-3586.0,2955.0,6541.0,1.4,0.02325581395348819,0.10779904920981642,0.1678321678321677,-53.68263473053892
1935-01-01,1,96,59,36,435,313,117,939.0,74.3,13.6,-2803.0,3609.0,6412.0,1.6,0.030303030303030276,0.08907446068197622,0.11227544910179632,-37.725437415881565
1936-01-01,1,96,69,25,435,322,103,1060.5,84.9,13.8,-4304.0,3923.0,8228.0,1.6,0.014705882352941346,0.12939297124600646,0.14266487213997325,-50.694935217903414
1937-01-01,1,96,69,25,435,322,103,1114.6,93.0,14.1,-2193.0,5387.0,7580.0,1.5,0.021739130434782483,0.051013672795851006,0.09540636042402828,-23.580645161290324
1938-01-01,1,96,75,17,435,333,89,1077.7,87.4,14.2,-89.0,6751.0,6840.0,1.7,0.007092198581560183,-0.03310604701238096,-0.06021505376344083,-1.0183066361556063
1939-01-01,1,96,75,17,435,333,89,1163.6,93.5,14.0,-2846.0,6295.0,9141.0,1.8,-0.014084507042253502,0.0797067829637188,0.06979405034324926,-30.43850267379679
1940-01-01,1,96,69,23,435,262,169,1266.1,102.9,13.9,-2920.0,6548.0,9468.0,2.7,-0.0071428571428571175,0.08808869027157096,0.10053475935828882,-28.377065111758988
1941-01-01,1,96,69,23,435,262,169,1490.3,129.4,14.1,-4941.0,8712.0,13653.0,11.9,0.014388489208633004,0.17707921965089657,0.25753158406219634,-38.183925811437405
1942-01-01,1,96,66,28,435,267,162,1771.8,166.0,15.7,-20503.0,14634.0,35137.0,32.2,0.11347517730496448,0.188888143326847,0.2828438948995362,-123.51204819277109
1943-01-01,1,96,66,28,435,267,162,2073.7,203.1,16.9,-54554.0,24001.0,78555.0,42.7,0.07643312101910826,0.17039169206456695,0.22349397590361453,-268.6065977351059
1944-01-01,1,96,57,38,435,222,209,2239.4,224.6,17.4,-47557.0,43747.0,91304.0,43.3,0.029585798816567976,0.07990548295317557,0.10585918266863614,-211.74087266251112
1945-01-01,1,96,57,38,435,222,209,2217.8,228.2,17.8,-47553.0,45159.0,92712.0,37.2,0.02298850574712663,-0.009645440743056177,0.01602849510240434,-208.38299737072745
1946-01-01,1,96,57,38,435,243,190,1960.9,227.8,18.2,-15936.0,39296.0,55232.0,12.3,0.022471910112359383,-0.11583551267021375,-0.0017528483786151128,-69.95610184372256
1947-01-01,1,96,57,38,435,243,190,1939.4,249.9,21.5,4018.0,38514.0,34496.0,8.5,0.18131868131868134,-0.010964353103166902,0.09701492537313428,16.07843137254902
1948-01-01,1,96,45,51,435,188,246,2020.0,274.8,23.7,11796.0,41560.0,29764.0,7.6,0.10232558139534875,0.04155924512735898,0.09963985594237701,42.92576419213974
1949-01-01,1,96,45,51,435,188,246,2008.9,272.8,24.0,580.0,39415.0,38835.0,8.2,0.012658227848101333,-0.0054950495049505,-0.00727802037845704,2.126099706744868
1950-01-01,1,96,54,42,435,263,171,2184.0,300.2,23.5,-3119.0,39443.0,42562.0,7.6,-0.02083333333333337,0.08716212852805016,0.10043988269794712,-10.389740173217856
1951-01-01,1,96,54,42,435,263,171,2360.0,347.3,25.4,6102.0,51616.0,45514.0,12.6,0.08085106382978724,0.08058608058608052,0.15689540306462368,17.569824359343507
1952-01-01,1,96,48,47,435,234,199,2456.1,367.7,26.5,-1519.0,66167.0,67686.0,15.6,0.04330708661417337,0.04072033898305083,0.058738842499280075,-4.1310851237421815
1953-01-01,0,96,48,47,435,234,199,2571.4,389.7,26.6,-6493.0,69608.0,76101.0,15.7,0.0037735849056603765,0.046944342657057936,0.05983138428066348,-16.66153451372851
1954-01-01,0,96,46,48,435,213,221,2556.9,391.1,26.9,-1154.0,69701.0,70855.0,13.9,0.011278195488721776,-0.0056389515439060345,0.0035925070567104367,-2.9506520071592943
1955-01-01,0,96,46,48,435,213,221,2739.0,426.2,26.7,-2993.0,65451.0,68444.0,12.3,-0.0074349442379182396,0.07121905432359488,0.08974686780874452,-7.022524636320976
1956-01-01,0,96,48,47,435,232,203,2797.4,450.1,26.8,3947.0,74587.0,70640.0,12.2,0.0037453183520599342,0.021321650237313028,0.05607695917409683,8.769162408353699
1957-01-01,0,96,48,47,435,232,203,2856.3,474.9,27.6,3412.0,79990.0,76578.0,12.6,0.029850746268656803,0.02105526560377502,0.05509886691846244,7.184670456938303
1958-01-01,0,96,49,47,435,234,201,2835.3,482.0,28.6,-2769.0,79636.0,82405.0,12.9,0.03623188405797095,-0.007352168889822486,0.014950515898083827,-5.744813278008299
1959-01-01,0,96,49,47,435,234,201,3031.0,522.5,29.0,-12849.0,79249.0,92098.0,11.7,0.013986013986013957,0.06902267837618581,0.08402489626556009,-24.591387559808613
1960-01-01,0,98,64,34,437,283,153,3108.7,543.3,29.3,301.0,92492.0,92191.0,11.2,0.010344827586207028,0.025635103926096914,0.03980861244019129,0.5540217191238727
1961-01-01,1,98,64,34,437,283,153,3188.1,563.3,29.8,-3335.0,94388.0,97723.0,11.5,0.017064846416382284,0.025541223019268644,0.036812074360390135,-5.920468666785017
1962-01-01,1,100,64,36,437,262,175,3383.1,605.1,30.0,-7146.0,99676.0,106821.0,11.5,0.006711409395973034,0.06116495718453008,0.07420557429433705,-11.809618244918195
1963-01-01,1,100,64,36,437,262,175,3530.4,638.6,30.4,-4756.0,106560.0,111316.0,11.0,0.013333333333333197,0.04353994856788157,0.05536274995868462,-7.4475414970247416
1964-01-01,1,100,67,33,435,258,176,3734.0,685.8,30.9,-5915.0,112613.0,118528.0,10.2,0.016447368421052655,0.05767051892136865,0.07391168180394603,-8.62496354622339
1965-01-01,1,100,67,33,435,258,176,3976.7,743.7,31.2,-1411.0,116817.0,118228.0,9.5,0.009708737864077666,0.0649973219068023,0.08442694663167116,-1.8972704047330913
1966-01-01,1,100,68,32,435,295,140,4238.9,815.0,31.8,-3698.0,130835.0,134532.0,10.1,0.019230769230769384,0.06593406593406592,0.0958719913943793,-4.537423312883435
1967-01-01,1,100,68,32,435,295,140,4355.2,861.7,32.9,-8643.0,148822.0,157464.0,11.0,0.03459119496855334,0.02743636320743592,0.057300613496932495,-10.030172914007194
1968-01-01,1,100,64,36,435,248,187,4569.0,942.5,34.1,-25161.0,152973.0,178134.0,10.8,0.03647416413373872,0.04909074210139597,0.09376813276082152,-26.69602122015915
1969-01-01,0,100,64,36,435,248,187,4712.5,1019.9,35.6,3242.0,186882.0,183640.0,10.0,0.04398826979472137,0.03140731013350839,0.08212201591511925,3.1787430140209825
1970-01-01,0,100,58,42,435,243,192,4722.0,1075.9,37.8,-2842.0,192807.0,195649.0,9.4,0.06179775280898858,0.0020159151193634983,0.05490734385724094,-2.641509433962264
1971-01-01,0,100,58,42,435,243,192,4877.6,1167.8,39.8,-23033.0,187139.0,210172.0,8.4,0.05291005291005302,0.03295213892418469,0.0854168603030021,-19.723411543072444
1972-01-01,0,100,54,44,435,255,180,5134.3,1282.4,41.1,-23373.0,207309.0,230681.0,7.8,0.03266331658291466,0.052628341807446244,0.09813324199349216,-18.22598253275109
1973-01-01,0,100,54,44,435,255,180,5424.1,1428.5,42.6,-14908.0,230799.0,245707.0,7.1,0.03649635036496357,0.05644391640535229,0.11392701185277598,-10.436121806090304
1974-01-01,0,100,56,42,435,242,192,5396.0,1548.8,46.6,-6135.0,263224.0,269359.0,7.1,0.0938967136150235,-0.0051805829538541515,0.08421421071053548,-3.9611311983471076
1975-01-01,0,100,56,42,435,242,192,5385.4,1688.9,52.1,-53242.0,279090.0,332332.0,6.9,0.11802575107296143,-0.001964418087472275,0.09045712809917372,-31.52466102196696
1976-01-01,0,100,61,37,435,291,144,5675.4,1877.6,55.6,-73732.0,298060.0,371792.0,6.6,0.06717850287907878,0.05384929624540424,0.11172952809520975,-39.26927993182787
1977-01-01,1,100,61,37,435,291,144,5937.0,2086.0,58.5,-53659.0,355559.0,409218.0,6.4,0.05215827338129486,0.04609366740670273,0.11099275671069453,-25.72339405560882
1978-01-01,1,100,61,38,435,292,143,6267.2,2356.6,62.5,-59185.0,399561.0,458746.0,6.1,0.06837606837606836,0.05561731514232782,0.1297219558964524,-25.114571840787576
1979-01-01,1,100,61,38,435,292,143,6466.2,2632.1,68.3,-40726.0,463302.0,504028.0,6.0,0.0928,0.03175261679857044,0.11690571161843333,-15.472816382356294
1980-01-01,1,100,58,41,435,277,158,6450.4,2862.5,77.8,-73830.0,517112.0,590941.0,6.3,0.1390922401171304,-0.002443475302341458,0.0875346681357092,-25.792139737991267
1981-01-01,0,100,58,41,435,277,158,6617.7,3211.0,87.0,-78968.0,599272.0,678241.0,6.6,0.11825192802056561,0.025936376038695252,0.12174672489082972,-24.592961694176267
1982-01-01,0,100,46,53,435,242,192,6491.3,3345.0,94.3,-127977.0,617766.0,745743.0,7.3,0.0839080459770114,-0.019100291642111245,0.04173154780442223,-38.25919282511211
1983-01-01,0,100,46,53,435,242,192,6792.0,3638.1,97.8,-207802.0,600562.0,808364.0,7.4,0.03711558854718988,0.04632354073914313,0.0876233183856503,-57.11827602319892
1984-01-01,0,100,46,54,435,269,166,7285.0,4040.7,101.9,-185367.0,666438.0,851805.0,7.3,0.04192229038854811,0.07258539458186108,0.11066215881916386,-45.87497215828941
1985-01-01,0,100,46,54,435,269,166,7593.8,4346.7,105.5,-212308.0,734037.0,946344.0,7.5,0.03532875368007837,0.04238846945779007,0.07572945281758114,-48.84349046403018
1986-01-01,0,100,47,53,435,253,182,7860.5,4590.2,109.6,-221227.0,769155.0,990382.0,7.6,0.03886255924170601,0.03512075640654211,0.056019509052844585,-48.19550346390136
1987-01-01,0,100,47,53,435,253,182,8132.6,4870.2,111.2,-149730.0,854287.0,1004017.0,7.6,0.014598540145985384,0.034616118567521115,0.06099952071805159,-30.744117284711102
1988-01-01,0,100,55,45,435,258,177,8474.5,5252.6,115.7,-155178.0,909238.0,1064416.0,7.2,0.04046762589928066,0.04204067579863757,0.07851833600262825,-29.543083425351252
1989-01-01,0,100,55,45,435,258,177,8786.4,5657.7,121.1,-152639.0,991104.0,1143743.0,6.9,0.046672428694900514,0.0368045312407812,0.07712371016258612,-26.9789843929512
1990-01-01,0,100,55,45,435,260,175,8955.0,5979.6,127.4,-221036.0,1031958.0,1252993.0,6.7,0.052023121387283267,0.01918874624419553,0.05689591176626552,-36.96501438223292
1991-01-01,0,100,55,45,435,260,175,8948.4,6174.0,134.6,-269238.0,1054988.0,1324226.0,6.7,0.05651491365777073,-0.0007370184254607004,0.032510535821794084,-43.608357628765795
1992-01-01,0,100,56,44,435,267,167,9266.6,6539.3,138.1,-290321.0,1091208.0,1381529.0,6.2,0.026002971768201988,0.035559429618702953,0.05916747651441523,-44.396342116128636
1993-01-01,1,100,56,44,435,267,167,9521.0,6878.7,142.6,-255051.0,1154334.0,1409386.0,5.7,0.03258508327299059,0.02745343491679786,0.05190157967978215,-37.07837236687165
1994-01-01,1,100,57,43,435,258,176,9905.4,7308.8,146.2,-203186.0,1258566.0,1461752.0,5.2,0.02524544179523147,0.04037391030353943,0.06252634945556568,-27.80018607705779
1995-01-01,1,100,57,43,435,258,176,10174.8,7664.1,150.3,-163952.0,1351790.0,1515742.0,4.9,0.028043775649794878,0.027197286328669135,0.04861263134851135,-21.39220521652901
1996-01-01,1,100,48,52,435,204,230,10561.0,8100.2,154.4,-107431.0,1453053.0,1560484.0,4.6,0.02727877578176985,0.037956520029877705,0.056901658381284026,-13.2627589442236
1997-01-01,1,100,48,52,435,204,230,11034.9,8608.5,159.1,-21884.0,1579232.0,1601116.0,4.3,0.030440414507771907,0.04487264463592466,0.06275153699908653,-2.5421385839577164
1998-01-01,1,100,45,55,435,207,226,11525.9,9089.2,161.6,69270.0,1721728.0,1652458.0,4.0,0.015713387806411072,0.04449519252553258,0.055840157983388705,7.6211327729613165
1999-01-01,1,100,45,55,435,207,226,12065.9,9660.6,164.3,125610.0,1827452.0,1701842.0,4.0,0.01670792079207928,0.046851005127582335,0.0628658187739295,13.002297993913421
2000-01-01,1,100,45,55,435,211,223,12559.7,10284.8,168.8,236241.0,2025191.0,1788950.0,3.8,0.027388922702373808,0.04092525215690501,0.06461296399809524,22.96991677037959
2001-01-01,0,100,45,55,435,211,223,12682.2,10621.8,175.1,128236.0,1991082.0,1862846.0,3.9,0.037322274881516515,0.009753417677173859,0.03276680149346611,12.072906663653995
2002-01-01,0,100,50,49,435,212,221,12908.8,10977.5,177.1,-157758.0,1853136.0,2010894.0,4.2,0.01142204454597362,0.01786756241030729,0.03348773277598904,-14.371031655659303
2003-01-01,0,100,50,49,435,212,221,13271.1,11510.7,181.7,-377585.0,1782314.0,2159899.0,4.5,0.025974025974025983,0.028066125433812594,0.04857207925301754,-32.802957248473156
2004-01-01,0,100,48,51,435,205,229,13773.5,12274.9,185.2,-412727.0,1880114.0,2292841.0,4.6,0.019262520638414937,0.037856696129182854,0.06639040197381552,-33.62365477519165
2005-01-01,0,100,48,51,435,205,229,14234.2,13093.7,190.7,-318346.0,2153611.0,2471957.0,4.6,0.02969762419006483,0.033448288379859914,0.06670522774116305,-24.31291384406241
2006-01-01,0,100,44,55,435,202,231,14613.8,13855.9,198.3,-248181.0,2406869.0,2655050.0,4.6,0.03985317252228637,0.026668165404448274,0.058211200806494556,-17.911575574304088
2007-01-01,0,100,44,55,435,202,231,14873.7,14477.6,202.416,-160701.0,2567985.0,2728686.0,4.7,0.020756429652042385,0.017784559799641553,0.04486897278415691,-11.09997513400011
2008-01-01,0,100,49,49,435,236,199,14830.4,14718.6,211.08,-458553.0,2523991.0,2982544.0,5.1,0.04280294047901356,-0.002911178792096236,0.01664640548157159,-31.154661448779095
2009-01-01,1,100,49,49,435,236,199,14418.7,14418.7,211.143,-1412688.0,2104989.0,3517677.0,5.5,0.0002984650369528552,-0.02776054590570709,-0.020375579199108595,-97.97610048062585
2010-01-01,1,100,57,41,435,257,178,14783.8,14964.4,216.687,-1294373.0,2162706.0,3457079.0,5.6,0.026257086429576137,0.02532128416570134,0.037846685207404196,-86.4968191173719
2011-01-01,1,100,57,41,435,257,178,15020.6,15517.9,220.22299999999998,-1299590.0,2303466.0,3603056.0,5.4,0.016318468574487488,0.016017532704717397,0.03698778434150385,-83.74780092667179
2012-01-01,1,100,51,47,435,193,242,15354.6,16155.3,226.665,-1086963.0,2449988.0,3536951.0,5.1,0.029252167121508688,0.022236129049438835,0.041075145477158514,-67.28213032255668
2013-01-01,1,100,51,47,435,193,242,15583.3,16663.2,230.28,-679544.0,2775103.0,3454647.0,4.6,0.01594864668122553,0.014894559285165254,0.0314385990975099,-40.78112247347448
2014-01-01,1,100,54,45,435,201,234,15961.7,17348.1,233.916,-484627.0,3021487.0,3506114.0,4.3,0.015789473684210575,0.0242824048821495,0.041102549330260585,-27.93545114450574
2015-01-01,1,100,54,45,435,201,234,16348.9,17947.0,233.707,-438406.0,3249886.0,3688292.0,4.1,-0.0008934831306964819,0.02425806774967576,0.03452251255180694,-24.4278152337438
