date,dem_pres,total_senate,dem_senate,rep_senate,total_house,dem_house,rep_house
1929-01-01,0,96,47,48,435,195,237
1930-01-01,0,96,39,56,435,163,267
1931-01-01,0,96,39,56,435,163,267
1932-01-01,0,96,47,48,435,217,217
1933-01-01,1,96,47,48,435,217,217
1934-01-01,1,96,59,36,435,313,117
1935-01-01,1,96,59,36,435,313,117
1936-01-01,1,96,69,25,435,322,103
1937-01-01,1,96,69,25,435,322,103
1938-01-01,1,96,75,17,435,333,89
1939-01-01,1,96,75,17,435,333,89
1940-01-01,1,96,69,23,435,262,169
1941-01-01,1,96,69,23,435,262,169
1942-01-01,1,96,66,28,435,267,162
1943-01-01,1,96,66,28,435,267,162
1944-01-01,1,96,57,38,435,222,209
1945-01-01,1,96,57,38,435,222,209
1946-01-01,1,96,57,38,435,243,190
1947-01-01,1,96,57,38,435,243,190
1948-01-01,1,96,45,51,435,188,246
1949-01-01,1,96,45,51,435,188,246
1950-01-01,1,96,54,42,435,263,171
1951-01-01,1,96,54,42,435,263,171
1952-01-01,1,96,48,47,435,234,199
1953-01-01,0,96,48,47,435,234,199
1954-01-01,0,96,46,48,435,213,221
1955-01-01,0,96,46,48,435,213,221
1956-01-01,0,96,48,47,435,232,203
1957-01-01,0,96,48,47,435,232,203
1958-01-01,0,96,49,47,435,234,201
1959-01-01,0,96,49,47,435,234,201
1960-01-01,0,98,64,34,437,283,153
1961-01-01,1,98,64,34,437,283,153
1962-01-01,1,100,64,36,437,262,175
1963-01-01,1,100,64,36,437,262,175
1964-01-01,1,100,67,33,435,258,176
1965-01-01,1,100,67,33,435,258,176
1966-01-01,1,100,68,32,435,295,140
1967-01-01,1,100,68,32,435,295,140
1968-01-01,1,100,64,36,435,248,187
1969-01-01,0,100,64,36,435,248,187
1970-01-01,0,100,58,42,435,243,192
1971-01-01,0,100,58,42,435,243,192
1972-01-01,0,100,54,44,435,255,180
1973-01-01,0,100,54,44,435,255,180
1974-01-01,0,100,56,42,435,242,192
1975-01-01,0,100,56,42,435,242,192
1976-01-01,0,100,61,37,435,291,144
1977-01-01,1,100,61,37,435,291,144
1978-01-01,1,100,61,38,435,292,143
1979-01-01,1,100,61,38,435,292,143
1980-01-01,1,100,58,41,435,277,158
1981-01-01,0,100,58,41,435,277,158
1982-01-01,0,100,46,53,435,242,192
1983-01-01,0,100,46,53,435,242,192
1984-01-01,0,100,46,54,435,269,166
1985-01-01,0,100,46,54,435,269,166
1986-01-01,0,100,47,53,435,253,182
1987-01-01,0,100,47,53,435,253,182
1988-01-01,0,100,55,45,435,258,177
1989-01-01,0,100,55,45,435,258,177
1990-01-01,0,100,55,45,435,260,175
1991-01-01,0,100,55,45,435,260,175
1992-01-01,0,100,56,44,435,267,167
1993-01-01,1,100,56,44,435,267,167
1994-01-01,1,100,57,43,435,258,176
1995-01-01,1,100,57,43,435,258,176
1996-01-01,1,100,48,52,435,204,230
1997-01-01,1,100,48,52,435,204,230
1998-01-01,1,100,45,55,435,207,226
1999-01-01,1,100,45,55,435,207,226
2000-01-01,1,100,45,55,435,211,223
2001-01-01,0,100,45,55,435,211,223
2002-01-01,0,100,50,49,435,212,221
2003-01-01,0,100,50,49,435,212,221
2004-01-01,0,100,48,51,435,205,229
2005-01-01,0,100,48,51,435,205,229
2006-01-01,0,100,44,55,435,202,231
2007-01-01,0,100,44,55,435,202,231
2008-01-01,0,100,49,49,435,236,199
2009-01-01,1,100,49,49,435,236,199
2010-01-01,1,100,57,41,435,257,178
2011-01-01,1,100,57,41,435,257,178
2012-01-01,1,100,51,47,435,193,242
2013-01-01,1,100,51,47,435,193,242
2014-01-01,1,100,54,45,435,201,234
2015-01-01,1,100,54,45,435,201,234